"","state","date","newcase","aggcase","newdeath","aggdeath","avgtraffic","uninsured","station","park","grocery","workplace","residential","SAHdate","density","pop","region","SAHduration","order_placed","death_rate","infect_rate","policy"
"26","Alabama",2020-03-29,109,830,1,5,77.3277708143636,412544,-29.6,18.9166666666667,-10.3461538461538,-28.8139534883721,9.5625,2020-04-04,97,4908621,"South",0,"N",0.602409638554217,0.0169090259769495,NA
"27","Alabama",2020-04-02,159,1270,4,32,72.5863177046032,430582,-22.1363636363636,11.9090909090909,6.82758620689655,-34.015873015873,14.9666666666667,2020-04-04,97,4908621,"South",0,"N",2.51968503937008,0.0258728469767782,NA
"28","Alabama",2020-03-28,80,720,0,4,78.4875641427778,411134,-23.6842105263158,21.4,1.84313725490196,-19.1590909090909,8.68421052631579,2020-04-04,97,4908621,"South",0,"N",0.555555555555556,0.0146680707269924,NA
"29","Alabama",2020-04-19,180,4903,13,160,71.2382053097015,438049,-42.3636363636364,-40.5909090909091,-22.4838709677419,-34.54,12.5,2020-04-04,97,4908621,"South",16,"Y",3.26330817866612,0.0998854871867272,"Loose"
"30","Alabama",2020-04-29,175,6925,20,262,71.2382053097015,438049,-19.3636363636364,-5.83333333333333,0.558823529411765,-33.134328358209,14.9677419354839,2020-04-04,97,4908621,"South",26,"Y",3.78339350180505,0.141078319145031,"Medium"
"31","Alabama",2020-03-17,8,39,0,0,168.291128977,188456,-2,36.8571428571429,16.5,-20.8,8.5,2020-04-04,97,4908621,"South",0,"N",0,0.000794520497712087,NA
"32","Alabama",2020-03-25,126,386,1,1,92.4090051782927,379082,-12.1875,34.2222222222222,-3.4,-31.1707317073171,12.7142857142857,2020-04-04,97,4908621,"South",0,"N",0.259067357512953,0.00786371569530424,NA
"33","Alabama",2020-05-01,226,7294,17,289,71.2382053097015,438049,-15,36.9,10.9722222222222,-30.7910447761194,12.1666666666667,2020-04-04,97,4908621,"South",28,"Y",3.96216068001097,0.148595705392614,"Loose"
"34","Alabama",2020-03-26,143,538,2,3,84.1235616239583,396005,-16.5,27.9,-0.266666666666667,-30.8125,13.3448275862069,2020-04-04,97,4908621,"South",0,"N",0.557620817843866,0.010960308404336,NA
"35","Alabama",2020-04-08,301,2499,3,67,71.9601612913636,437273,-28.7391304347826,2.09090909090909,-7.59375,-38.1212121212121,16.6666666666667,2020-04-04,97,4908621,"South",5,"Y",2.68107242897159,0.050910428814936,"Medium"
